ACCOUNT,ACC_DESC,PORTFOLIO,PORT_DESC,LEGAL_ENTITY,ALADDIN_PORT,CUSTODIAN,SAFEKEEPING_ACC,BI_SAM
00100   ,COMPANY        ,00100EQ ,IC-EQUITY                             ,1100                          ,1309                               ,CHASE   ,G 21683         ,
00100   ,COMPANY        ,00100FD ,CASUALTY - US HOLDINGS - FIRE DIVIDEND  ,1100                          ,256                                ,CHASE   ,G 09995         ,
00100   ,COMPANY        ,00100FP ,IC-FUNDING                            ,1100                          ,1314                               ,CHASE   ,G 21682         ,
00100   ,COMPANY        ,00100G  ,IC GLOBAL                             ,1100                          ,888                                ,CHASEGLB,84697           ,00100G  
00100   ,COMPANY        ,00100HY ,IC - HIGH YIELD                       ,1100                          ,749                                ,CHASE   ,G 13020         ,
00100   ,COMPANY        ,00100LDB,IC/DEUTSCHE BANK                      ,1100                          ,882                                ,CHASE   ,G 21101         ,00100LDB
00100   ,COMPANY        ,00100LI7,IC IG TOTAL RETURN                    ,1100                          ,257                                ,CHASE   ,G 11570         ,00100LI7
00100   ,COMPANY        ,00100LIQ,IC ST LIQUIDITY POOL                  ,1150                          ,1123                               ,CHASE   ,G 04010         ,
00100   ,COMPANY        ,00100M  ,IC - MLP                              ,1100                          ,943                                ,CHASE   ,G 23649         ,
00100   ,COMPANY        ,00100ME ,IC - ME TM                            ,1100                          ,                                   ,CHASE   ,G 11522         ,
00100   ,COMPANY        ,00100MEL,IC MELLON LIQUIDITY POOL              ,1150                          ,1120                               ,MELLON  ,NULL,
00100   ,COMPANY        ,00100NWD,IC - LNW DIVIDEND                     ,1100                          ,258                                ,CHASE   ,G 11143         ,
00100   ,COMPANY        ,00100NY ,IC - NY TM                            ,1100                          ,                                   ,CHASE   ,G 51513         ,
00100   ,COMPANY        ,00100PCD,IC LM PROP AND CAS INS 2006 DIVIDEND  ,1100                          ,259                                ,CHASE   ,G 11348         ,
00100   ,COMPANY        ,00100PP7,IC - PRUPAC INTERCOMPANY TRANSFER 2007,1100                          ,260                                ,CHASE   ,G 11717         ,
00100   ,COMPANY        ,00100RC ,IC REPO COLLATERAL                    ,1100                          ,812                                ,CHASE   ,G 20278         ,
00100   ,COMPANY        ,00100RP ,IC - REPO PROCEEDS                    ,1100                          ,918                                ,CHASE   ,G 10955         ,
00100   ,COMPANY        ,00100SC ,IC - PASSIVE MID CAP US               ,1100                          ,941                                ,CHASE   ,G 23648         ,
00100   ,COMPANY        ,00100SL ,CASUALTY - SYNDICATED LOANS             ,1100                          ,879                                ,BONY    ,744121          ,
00100   ,COMPANY        ,00100TRC,IC TOTAL RETURN - COLLATERAL          ,1100                          ,820                                ,BONY    ,NULL,
00100   ,COMPANY        ,00100TRN,00100 LOT TRANSFERS                     ,1100                          ,                                   ,CHASE   ,NULL,
00100   ,COMPANY        ,00100TX ,IC - TX TM                            ,1100                          ,                                   ,CHASE   ,G 51605         ,
00100   ,COMPANY        ,00100WG7,WAUSAU GENERAL ASSET TRANSFER 2007      ,1100                          ,261                                ,CHASE   ,G 11569         ,
00100   ,COMPANY        ,00103   , INS. CO. ING N.V. LONDON ,1100                          ,262                                ,CHASE   ,G 09978         ,
00100   ,COMPANY        ,00104   ,CASUALTY - ALLIED IRISH BANK            ,1100                          ,                                   ,CHASE   ,NULL,
00100   ,COMPANY        ,00105   ,CASUALTY - NATIONAL AUSTRALIA BANK      ,1100                          ,                                   ,CHASE   ,NULL,
00100   ,COMPANY        ,00106   ,LLOYDS TSB BANK PLC                     ,1100                          ,263                                ,CHASE   ,G 11022         ,00106   
00100   ,COMPANY        ,00107   ,THE BANK OF TOKYO MITSUBISHI LTD        ,1100                          ,264                                ,CHASE   ,G 11023         ,00107   
00100   ,COMPANY        ,00108   ,IC/FHLB BOSTON COLLATERAL             ,1100                          ,448                                ,CHASE   ,G 00318         ,00108   
00100   ,COMPANY        ,00109   ,LIBERTY RE(BERMUDA) AND CIGNA           ,1100                          ,                                   ,BONY    ,NULL,
00100   ,COMPANY        ,0010TMPG,CASUALTY - US HOLDINGS TMPG COLLATERAL  ,1100                          ,1009                               ,CHASE   ,G 24076         ,
00100   ,COMPANY        ,0010USCO,IC F/B/O US BANK COLLATERAL ACCOUNT   ,1100                          ,1038                               ,CHASE   ,G 24394         ,
00100   ,COMPANY        ,00110   ,CASUALTY - CANADIAN HOLDINGS            ,1110                          ,421                                ,3100    ,028521001       ,00110   
00100   ,COMPANY        ,00110T  ,CASUALTY - CANADIAN HOLDINGS (TRUST)    ,1110                          ,425                                ,3000    ,028519001       ,00110T  
00100   ,COMPANY        ,00112   ,CASUALTY - CAN HLDG US PAY              ,1175                          ,422                                ,3100    ,028521002       ,00112   
00100   ,COMPANY        ,00112T  ,CASUALTY - CAN HLDG US PAY (TRUST)      ,1175                          ,426                                ,3000    ,028519002       ,00112T  
00100   ,COMPANY        ,00120   ,CASUALTY - WELLS S&P 500 INDEX          ,1100                          ,265                                ,CHASE   ,G 07278         ,
00100   ,COMPANY        ,00121   ,IC - BGI S&P 500 SECTION 1092A2 PORT 1,1100                          ,                                   ,CHASE   ,NULL,
00100   ,COMPANY        ,00122   ,IC - BGI S&P 500 SECTION 1092A2 PORT 2,1100                          ,                                   ,CHASE   ,NULL,
00100   ,COMPANY        ,00123   ,IC - BGI S&P 500 SECTION 1092A2 PORT 3,1100                          ,                                   ,CHASE   ,NULL,
00100   ,COMPANY        ,00124   ,IC - BGI S&P 500 SECTION 1092A2 PORT 4,1100                          ,                                   ,CHASE   ,NULL,
00100   ,COMPANY        ,00127   ,IC - BGI S&P 500 SECTION 1092A2 PORT 6,1100                          ,                                   ,CHASE   ,NULL,
00100   ,COMPANY        ,00128   ,IC - BGI S&P 500 SECTION 1092A2 PORT 7,1100                          ,372                                ,CHASE   ,NULL,
00100   ,COMPANY        ,00130   ,CASUALTY - WELLS RESTRUCTURED           ,1100                          ,                                   ,8880    ,NULL,
00100   ,COMPANY        ,00135   ,CO - INTECH    ,1100                          ,                                   ,CHASE   ,NULL,
00100   ,COMPANY        ,00140   ,CASUALTY - STEINROE SPECIAL - DOMESTIC  ,1100                          ,                                   ,8880    ,NULL,
00100   ,COMPANY        ,00148   ,IC - HIGHLAND                         ,1100                          ,                                   ,CHASE   ,10222727.1      ,
00100   ,COMPANY        ,00149   ,IC - MATTHEWS INTL CAP MGT            ,1100                          ,413                                ,CHASEGLB,37081           ,
00100   ,COMPANY        ,00150   ,CASUALTY - COLONIAL NEWPORT             ,1100                          ,                                   ,CHASEGLB,NULL,
00100   ,COMPANY        ,00155   ,CASUALTY COLUMBIA EUROPEAN EQUITIES     ,1100                          ,                                   ,CHASEGLB,NULL,
00100   ,COMPANY        ,00159   ,IC - MATTHEWS INTL CAP MGT DOMESTIC   ,1100                          ,266                                ,CHASE   ,G 10621         ,
00100   ,COMPANY        ,00160   ,CASUALTY - LAZARD EUROPEAN EQUITIES     ,1100                          ,414                                ,CHASEGLB,07829           ,
00100   ,COMPANY        ,00165   ,CASUALTY - PUTNAM EQUITIES              ,1100                          ,                                   ,8880    ,NULL,
00100   ,COMPANY        ,00170   ,CASUALTY - JAPAN BRANCH - BONDS         ,1100                          ,                                   ,CITIBANK,NULL,
00100   ,COMPANY        ,00172   ,IC - CREDIT DEFAULT SWAPS             ,1100                          ,373                                ,CHASE   ,NULL,
00100   ,COMPANY        ,00173   ,-ACE INA OVERSEAS         ,1100                          ,267                                ,BONY    ,NULL,
00100   ,COMPANY        ,00175   ,LIU REINSURANCE DEPOSIT ACCOUNT         ,1100                          ,                                   ,BDBRASIL,NULL,
00100   ,COMPANY        ,00176   ,IC - FHLB BORROWING                   ,1100                          ,449                                ,CHASE   ,G 11925         ,
00100   ,COMPANY        ,00180   ,CASUALTY-COLONIAL NEWPORT JAPAN EQUITIES,1100                          ,                                   ,8880    ,NULL,
00100   ,COMPANY        ,00185   ,CASUALTY - AUSTRALIAN SURPLUS           ,1130                          ,386                                ,CHASEGLB,32479           ,00185   
00100   ,COMPANY        ,00186   ,CASUALTY - AUSTRALIAN LIABILITY         ,1130                          ,387                                ,CHASEGLB,16011           ,00186   
00100   ,COMPANY        ,00188   ,CAS - REAL ESTATE LP                    ,1100                          ,                                   ,CHASELP ,NULL,
00100   ,COMPANY        ,00189   ,STRUCTURED HLDGS                        ,1100                          ,227                                ,8500    ,NULL,
00100   ,COMPANY        ,00190   ,CASUALTY - LIMITED PARTNERSHIPS         ,1100                          ,                                   ,CHASELP ,NULL,
00100   ,COMPANY        ,001ARCH ,IC GLOBAL SPECIALTY ARCH FMAC         ,1100                          ,1354                               ,BONY    ,527768          ,001ARCH 
00100   ,COMPANY        ,001AU   ,IC - AUD                              ,1100                          ,732                                ,CHASEGLB,NULL,
00100   ,COMPANY        ,001CHIM ,IC CHIMNEY FNMA                       ,1100                          ,1204                               ,MTB     ,121132-000      ,
00100   ,COMPANY        ,001CHIM3,IC CHIMNEY FNMA 3                     ,1100                          ,1295                               ,MTB     ,122314-000      ,
00100   ,COMPANY        ,001CLMET,IC - METLIFE CML                      ,1100                          ,1085                               ,CHASE   ,G 00593         ,001CLMET
00100   ,COMPANY        ,001CLPRU,IC - PRUDENTIAL CML                   ,1100                          ,1097                               ,CHASE   ,G 00592         ,001CLPRU
00100   ,COMPANY        ,001COLTR,IC-COLLATERAL TOTAL RETURN            ,1100                          ,1058                               ,CHASE   ,G 24508         ,
00100   ,COMPANY        ,001CORP ,IC-CORPORATE TOTAL RETURN             ,1100                          ,1162                               ,CHASE   ,G 21771         ,001CORP 
00100   ,COMPANY        ,001CSPR ,IC - CREDIT STRATEGIES PROCESSING ACCT,1100                          ,1344                               ,CHASE   ,G 22017         ,001CSPR 
00100   ,COMPANY        ,001EMTR ,IC-EM TOTAL RETURN                    ,1100                          ,1161                               ,CHASE   ,G 21770         ,001EMTR 
00100   ,COMPANY        ,001EMTRG,IC-EM TOTAL RETURN GLOBAL             ,1100                          ,1180                               ,CHASEGLB,EEY09           ,001EMTRG
00100   ,COMPANY        ,001FAL  ,IC-UKSYNFAL                           ,1100                          ,1355                               ,CITIBANK,6018173559      ,
00100   ,COMPANY        ,001FMAC ,IC GS FBO FMAC                        ,1100                          ,1205                               ,BONY    ,963997          ,
00100   ,COMPANY        ,001FNMA2,IC GLOBAL SPECIALTY MANGROVE FNMA2    ,1100                          ,1328                               ,MTB     ,124905-000      ,001FNMA2
00100   ,COMPANY        ,001GBSL ,CO GOLUB - SL  ,1100                          ,1300                               ,BONY    ,103229          ,
00100   ,COMPANY        ,001HKLCB,IC HONG KONG LOC - CITI BANK          ,1100                          ,1178                               ,BONY    ,963701          ,001HKLCB
00100   ,COMPANY        ,001LBC  ,IC TRI PARTY COLLATERAL AC BARCLAYS   ,1100                          ,1177                               ,CHASE   ,G 21774         ,
00100   ,COMPANY        ,001MBS  ,IC-MBS TOTAL RETURN                   ,1100                          ,1173                               ,CHASE   ,G 21773         ,001MBS  
00100   ,COMPANY        ,001MUNI ,IC-MUNI TOTAL RETURN                  ,1100                          ,1165                               ,CHASE   ,G 21772         ,001MUNI 
00100   ,COMPANY        ,001NPGC ,IC-NAPIER PARK GLOBAL CAPITAL (US) LP ,1100                          ,1340                               ,CHASE   ,G 22012         ,001NPGC 
00100   ,COMPANY        ,001PHYST,IC PHYSICIANS TRUST                   ,1100                          ,1126                               ,CHASE   ,G 04088         ,
00100   ,COMPANY        ,001TRANS,IC SSGA TRANSITION                    ,1100                          ,                                   ,CHASEGLB,NULL,
00100   ,COMPANY        ,01LITMPG,TR PORT-LIC ASSET TRNSFR 2007 TMPG COLL ,1100                          ,1005                               ,CHASE   ,G 24071         ,
00200   , FIRE INSURANCE COMPANY   ,00200   ,FIRE - US HOLDINGS                      ,1200                          ,268                                ,CHASE   ,G 51475         ,00200   
00200   , FIRE INSURANCE COMPANY   ,002001B ,LMFIC SINGLE B                          ,1200                          ,393                                ,CHASE   ,G 00248         ,002001B 
00200   , FIRE INSURANCE COMPANY   ,002002B ,LMFIC HIGH YIELD BOND                   ,1200                          ,394                                ,CHASE   ,G 00249         ,002002B 
00200   , FIRE INSURANCE COMPANY   ,00200CA ,LMFIC - CA TM                           ,1200                          ,                                   ,CHASE   ,P 63346         ,
00200   , FIRE INSURANCE COMPANY   ,00200CS ,LMFIC-CREDIT STRATEGIES                 ,1200                          ,1324                               ,CHASE   ,G 21283         ,
00200   , FIRE INSURANCE COMPANY   ,00200DE8,LMFIC DEBT EXCHANGE 2008                ,1200                          ,374                                ,CHASE   ,G 00231         ,00200DE8
00200   , FIRE INSURANCE COMPANY   ,00200EQ ,LMFIC-EQUITY                            ,1200                          ,1311                               ,CHASE   ,G 21685         ,
00200   , FIRE INSURANCE COMPANY   ,00200ETF,FIRE - JAPAN ETF                        ,1200                          ,1106                               ,CHASE   ,G 01185         ,
00200   , FIRE INSURANCE COMPANY   ,00200F  , FIRE INS CO - FHLB CHI   ,1200                          ,910                                ,CHASE   ,G 21267         ,00200F  
00200   , FIRE INSURANCE COMPANY   ,00200FP ,LMFIC - FHLB CHICAGO PROCEEDS           ,1200                          ,913                                ,CHASE   ,G 30096         ,
00200   , FIRE INSURANCE COMPANY   ,00200FP1,LMFIC-FUNDING                           ,1200                          ,1315                               ,CHASE   ,G 21684         ,
00200   , FIRE INSURANCE COMPANY   ,00200G  , FIRE INS CO GLOBAL       ,1200                          ,890                                ,CHASEGLB,84700           ,00200G  
00200   , FIRE INSURANCE COMPANY   ,00200JPY,FIRE - JAPAN EQUITIES                   ,1200                          ,1115                               ,CHASEGLB,EAX27           ,
00200   , FIRE INSURANCE COMPANY   ,00200ME ,LMFIC - ME TM                           ,1200                          ,                                   ,CHASE   ,G 11521         ,
00200   , FIRE INSURANCE COMPANY   ,00200PR ,LMFIC - PR TM                           ,1200                          ,                                   ,CHASE   ,G 12033         ,
00200   , FIRE INSURANCE COMPANY   ,00200SC , INS CO FIRE - US MID CAP ,1200                          ,1108                               ,CHASE   ,G 01303         ,
00200   , FIRE INSURANCE COMPANY   ,00200SL ,LMFIC - SYNDICATED LOANS                ,1200                          ,878                                ,BONY    ,744163          ,
00200   , FIRE INSURANCE COMPANY   ,00200TRN,00200 LOT TRANSFERS                     ,1200                          ,                                   ,CHASE   ,NULL,
00200   , FIRE INSURANCE COMPANY   ,00208   ,FIRE - DEBT PROCEEDS 2008               ,1200                          ,                                   ,CHASE   ,NULL,
00200   , FIRE INSURANCE COMPANY   ,00209   ,LMFIC - POOL RESTATEMENT 2009           ,1200                          ,411                                ,CHASE   ,G 12016         ,
00200   , FIRE INSURANCE COMPANY   ,0020TMPG,FIRE - US HOLDINGS TMPG COLLATERAL      ,1200                          ,1010                               ,CHASE   ,G 24077         ,
00200   , FIRE INSURANCE COMPANY   ,00220   ,FIRE - WELLS S&P 500 INDEX              ,1200                          ,269                                ,CHASE   ,G 07279         ,
00200   , FIRE INSURANCE COMPANY   ,00228   ,LIB MUT FIRE INS CO S&P500 SEC 1092A2 P1,1200                          ,375                                ,CHASE   ,NULL,
00200   , FIRE INSURANCE COMPANY   ,00230   ,FIRE - WELLS RESTRUCTURED               ,1200                          ,                                   ,8880    ,NULL,
00200   , FIRE INSURANCE COMPANY   ,00240   ,FIRE - STEINROE SPECIAL - DOMESTIC      ,1200                          ,                                   ,8880    ,NULL,
00200   , FIRE INSURANCE COMPANY   ,00245   ,FIRE - STEINROE SPECIAL - GLOBAL        ,1200                          ,                                   ,8880    ,NULL,
00200   , FIRE INSURANCE COMPANY   ,00248   ,FIRE - HIGHLAND                         ,1200                          ,                                   ,CHASE   ,10222728.1      ,
00200   , FIRE INSURANCE COMPANY   ,00249   ,FIRE - MATTHEWS INTL CAP MGT            ,1200                          ,                                   ,CHASEGLB,NULL,
00200   , FIRE INSURANCE COMPANY   ,00250   ,FIRE - COLONIAL NEWPORT                 ,1200                          ,                                   ,CHASEGLB,NULL,
00200   , FIRE INSURANCE COMPANY   ,00259   ,FIRE - MATTHEWS INTL CAP MGT DOMESTIC   ,1200                          ,                                   ,CHASE   ,NULL,
00200   , FIRE INSURANCE COMPANY   ,00260   ,FIRE - LAZARD EUROPEAN EQUITIES         ,1200                          ,                                   ,8880    ,NULL,
00200   , FIRE INSURANCE COMPANY   ,00272   ,LMFI - CREDIT DEFAULT SWAPS             ,1200                          ,376                                ,CHASE   ,NULL,
00200   , FIRE INSURANCE COMPANY   ,00275   ,FIRE-CASUALTY DIVIDEND                  ,1200                          ,270                                ,CHASE   ,G 10411         ,
00200   , FIRE INSURANCE COMPANY   ,00280   ,FIRE -COLONIAL NEWPORT JAPANESE EQUITIES,1200                          ,                                   ,MSTANLEY,NULL,
00200   , FIRE INSURANCE COMPANY   ,00288   ,FIRE - REAL ESTATE LP                   ,1200                          ,                                   ,CHASELP ,NULL,
00200   , FIRE INSURANCE COMPANY   ,00290   ,FIRE - LIMITED PARTNERSHIPS             ,1200                          ,                                   ,CHASELP ,NULL,
00200   , FIRE INSURANCE COMPANY   ,002AU   ,LMFIC - AUD                             ,1200                          ,734                                ,CHASEGLB,NULL,
00200   , FIRE INSURANCE COMPANY   ,002CLMET,FIRE - METLIFE CML                      ,1200                          ,1084                               ,CHASE   ,G 00584         ,002CLMET
00200   , FIRE INSURANCE COMPANY   ,002CLPRU,FIRE - PRUDENTIAL CML                   ,1200                          ,1096                               ,CHASE   ,G 00585         ,002CLPRU
00200   , FIRE INSURANCE COMPANY   ,002CORP ,FIRE-CORPORATE TOTAL RETURN             ,1200                          ,1170                               ,CHASE   ,G 21776         ,002CORP 
00200   , FIRE INSURANCE COMPANY   ,002EMTR ,FIRE-EM TOTAL RETURN                    ,1200                          ,1163                               ,CHASE   ,G 21775         ,002EMTR 
00200   , FIRE INSURANCE COMPANY   ,002EMTRG,FIRE-EM TOTAL RETURN GLOBAL             ,1200                          ,1182                               ,CHASEGLB,EEY08           ,002EMTRG
00200   , FIRE INSURANCE COMPANY   ,002MBS  ,FIRE-MBS TOTAL RETURN                   ,1200                          ,1164                               ,CHASE   ,G 21778         ,002MBS  
00200   , FIRE INSURANCE COMPANY   ,002MUNI ,FIRE-MUNI TOTAL RETURN                  ,1200                          ,1172                               ,CHASE   ,G 21777         ,002MUNI 
00400   ,LIBERTY NORTHWEST INSURANCE CORPORATION ,00400   ,LIBERTY NORTHWEST INSURANCE CORPORATION ,1400                          ,271                                ,CHASE   ,G 52791         ,00400   
00400   ,LIBERTY NORTHWEST INSURANCE CORPORATION ,00400CA ,LIBERTY NORTHWEST - CA TM               ,1400                          ,                                   ,CHASE   ,P 62585         ,
00400   ,LIBERTY NORTHWEST INSURANCE CORPORATION ,00400TRN,00400 LOT TRANSFERS                     ,1400                          ,                                   ,CHASE   ,NULL,
00400   ,LIBERTY NORTHWEST INSURANCE CORPORATION ,00488   ,LNW - REAL ESTATE LP                    ,1400                          ,                                   ,        ,NULL,
00400   ,LIBERTY NORTHWEST INSURANCE CORPORATION ,00490   ,LIB. N.W. - LIMITED PARTNERSHIPS        ,1400                          ,                                   ,8500    ,NULL,
00450   ,NORTH PACIFIC INSURANCE COMPANY         ,00450   ,NORTH PACIFIC INSURANCE COMPANY         ,4101                          ,272                                ,CHASE   ,G 09356         ,00450   
00450   ,NORTH PACIFIC INSURANCE COMPANY         ,00450TRN,00450 LOT TRANSFERS                     ,4101                          ,                                   ,CHASE   ,NULL,
00460   ,OREGON AUTOMOBILE INSURANCE COMPANY     ,00460   ,OREGON AUTOMOBILE INSURANCE COMPANY     ,4102                          ,273                                ,CHASE   ,G 09357         ,00460   
00460   ,OREGON AUTOMOBILE INSURANCE COMPANY     ,00460TRN,00460 LOT TRANSFERS                     ,4102                          ,                                   ,CHASE   ,NULL,
00500   ,CORPORATION           ,00500   ,LIC - US HOLDINGS                       ,1700                          ,274                                ,CHASE   ,G 51486         ,00500   
00500   ,CORPORATION           ,005001B ,LIC - SINGLE B                          ,1700                          ,739                                ,CHASE   ,G 12985         ,
00500   ,CORPORATION           ,005002B ,CORP HIGH YIELD BOND  ,1700                          ,738                                ,CHASE   ,G 12986         ,
00500   ,CORPORATION           ,00500CA ,LIB INSUR. CORP - CA TM                 ,1700                          ,                                   ,CHASE   ,P 62579         ,
00500   ,CORPORATION           ,00500CA7,LIC RE-POOLING 2007                     ,1700                          ,275                                ,CHASE   ,G 11571         ,
00500   ,CORPORATION           ,00500ME ,LIB INSUR. CORP - ME TM                 ,1700                          ,                                   ,CHASE   ,G 11520         ,
00500   ,CORPORATION           ,00500PR ,LIB INSUR. CORP - PR TM                 ,1700                          ,                                   ,CHASE   ,G 12034         ,
00500   ,CORPORATION           ,00500SL ,CORP - SL             ,1700                          ,880                                ,BONY    ,523206          ,
00500   ,CORPORATION           ,00500TN ,LIB INSUR. CORP - TN TM                 ,1700                          ,                                   ,CHASE   ,G 51607         ,
00500   ,CORPORATION           ,00500TRN,00500 LOT TRANSFERS                     ,1700                          ,                                   ,CHASE   ,NULL,
00500   ,CORPORATION           ,00500TX ,LIB INSUR. CORP - TX TM                 ,1700                          ,                                   ,CHASE   ,G 51606         ,
00500   ,CORPORATION           ,0050TMPG,LIC - US HOLDINGS TMPG COLLATERAL       ,1700                          ,1011                               ,CHASE   ,G 24078         ,
00500   ,CORPORATION           ,00588   ,LIC - REAL ESTATE LPS                   ,1700                          ,                                   ,CHASELP ,NULL,
00500   ,CORPORATION           ,00590   ,LIC - LIMITED PARTNERSHIPS              ,1700                          ,                                   ,CHASELP ,NULL,
00600   ,LM INSURANCE CORPORATION                ,00600   ,LM INSURANCE CORPORATION                ,1500                          ,276                                ,CHASE   ,G 51487         ,00600   
00600   ,LM INSURANCE CORPORATION                ,00600CA ,LM INS. CORP - CA TM                    ,1500                          ,                                   ,CHASE   ,P 62578         ,
00600   ,LM INSURANCE CORPORATION                ,00600IE ,LM INSURANCE CORP - IRISH BRANCH        ,1500                          ,695                                ,CHASE   ,G 20126         ,
00600   ,LM INSURANCE CORPORATION                ,00600ME ,LM INS. CORP - ME TM                    ,1500                          ,                                   ,CHASE   ,G 11523         ,
00600   ,LM INSURANCE CORPORATION                ,00600NV ,LM INS. CORP - NV TM                    ,1500                          ,                                   ,CHASE   ,G 10538         ,
00600   ,LM INSURANCE CORPORATION                ,00600TRN,00600 LOT TRANSFERS                     ,1500                          ,                                   ,CHASE   ,NULL,
00700   ,THE FIRST CORPORATION ,00700   ,THE FIRST LIBERTY CORPORATION           ,1600                          ,277                                ,CHASE   ,G 51491         ,00700   
00700   ,THE FIRST CORPORATION ,00700CA ,FIRST LIB - CA TM                       ,1600                          ,                                   ,CHASE   ,P 62582         ,
00700   ,THE FIRST CORPORATION ,00700ME ,FIRST LIB - ME TM                       ,1600                          ,                                   ,CHASE   ,G 11524         ,
00700   ,THE FIRST CORPORATION ,00700NV ,FIRST LIB - NV TM                       ,1600                          ,                                   ,CHASE   ,G 10539         ,
00700   ,THE FIRST CORPORATION ,00700TRN,00700 LOT TRANSFERS                     ,1600                          ,                                   ,CHASE   ,NULL,
00800   ,HELMSMAN MANAGEMENT SERVICES            ,00800   ,HELMSMAN MANAGEMENT SERVICES            ,8110                          ,278                                ,CHASE   ,G 51507         ,
00850   ,HELMSMAN INSURANCE AGENCY INC           ,00850   ,HELMSMAN INSURANCE AGENCY INC           ,                              ,434                                ,CHASE   ,G 99904         ,
00850   ,HELMSMAN INSURANCE AGENCY INC           ,00851   ,HIA - PRU BROKERAGE                     ,8300                          ,438                                ,CHASE   ,NULL,
00870   ,WAUSAU SIGNATURE AGENCY LLC             ,00870   ,WAUSAU SIGNATURE AGENCY LLC             ,8503                          ,439                                ,CHASE   ,G 99907         ,
00900   , CAPITAL CORPORATION      ,00900   , CAPITAL CORPORATION      ,8010                          ,                                   ,CHASE   ,NULL,
01000   , EQUITY CORPORATION       ,01000   , EQUITY CORPORATION       ,8020                          ,                                   ,8500    ,NULL,
01000   , EQUITY CORPORATION       ,01001   ,LFC HOLDINGS INC                        ,8020                          ,                                   ,8500    ,NULL,
0100E   ,CASUALTY GROUP P&C                      ,0100E   ,CASUALTY GROUP P&C                      ,100E                          ,                                   ,8500    ,NULL,
01400   ,HOLDINGS INC.     ,01400   ,HOLDINGS INC.     ,L105                          ,682                                ,CHASE   ,G 08389         ,
01500   ,LIBERTY INTERN. LATIN AMER. HOLDINGS INC,01500   ,LIBERTY INTERN. LATIN AMER. HOLDINGS INC,L792                          ,                                   ,8500    ,NULL,
01600   ,COMPANY OF AMERICA    ,01600   ,CORP. OF AMERICA      ,1B00                          ,279                                ,CHASE   ,G 08564         ,
01700   , MANAGED CARE             ,01700   , MANAGED CARE             ,8120                          ,435                                ,CHASE   ,G 99906         ,
02000   ,LIBERTY MASSACHUSETTS TRUST             ,02000   ,LIBERTY MASSACHUSETTS TRUST             ,8040                          ,                                   ,8500    ,NULL,
02200   ,LIBERTY EUROPE (HOLDINGS) LTD           ,02200   ,LIBERTY EUROPE -HOLDINGS- LTD           ,                              ,                                   ,8500    ,NULL,
02220   ,LIBERTY RE BERMUDA                      ,02220   ,LIBERTY RE BERMUDA                      ,8085                          ,437                                ,CHASE   ,G 99908         ,
02220   ,LIBERTY RE BERMUDA                      ,02220TRN,02220 LOT TRANSFERS                     ,8085                          ,                                   ,BONY    ,NULL,
02220   ,LIBERTY RE BERMUDA                      ,02221   ,LIB RE CIGNA TRUST                      ,8085                          ,462                                ,BONY    ,199599          ,02221   
02220   ,LIBERTY RE BERMUDA                      ,02222   ,LIB RE - TRANSAMERICA                   ,8085                          ,742                                ,BONY    ,199610          ,02222   
02220   ,LIBERTY RE BERMUDA                      ,02223   ,LIBERTY RE - COLI                       ,8085                          ,1356                               ,BONY    ,271169          ,02223   
